hour_utc,avg_volume,avg_range,count
16,17657.806434676335,0.14486666666666673,30
15,13673.477401005333,0.1335,30
17,13061.108864180334,0.09180000000000002,30
20,11732.547871544333,0.0710333333333334,30
14,11131.934100623668,0.11276666666666664,30
18,9519.633011212334,0.08599999999999998,30
22,9260.895702663,0.0863666666666667,30
13,8069.429850362333,0.07726666666666672,30
0,7785.825699076333,0.0943,30
19,7632.335782517333,0.07570000000000003,30
7,7232.521617190333,0.10346666666666661,30
8,6516.378328286666,0.07786666666666668,30
12,6026.468880983667,0.06629999999999997,30
3,5815.791690153,0.07186666666666662,30
21,5755.088346918333,0.08229999999999998,30
10,5724.443912082334,0.0648333333333334,30
11,5697.200389795334,0.06503333333333329,30
2,5488.580287419355,0.08067741935483876,31
9,5428.455427567666,0.0675666666666667,30
23,5082.937412495,0.08213333333333335,30
4,4988.870628829333,0.07463333333333333,30
1,4497.059261705666,0.07596666666666678,30
5,4435.176386157001,0.06923333333333327,30
6,3927.489732993,0.06843333333333342,30
