hour_utc,avg_volume,avg_range,count
15,3111.6125994609997,63.203666666666614,30
16,2229.998680338,49.50466666666663,30
17,2079.689611420333,42.32266666666665,30
19,2016.7692580723333,32.79966666666672,30
18,1858.4243753233334,37.46333333333335,30
14,1660.2627507203333,49.428999999999995,30
20,1599.8987798996668,32.026666666666685,30
21,1355.122909142,30.550999999999945,30
0,954.9687048326666,33.95766666666667,30
22,949.261598941,31.056000000000008,30
3,851.359684574,23.666333333333295,30
13,827.5156083306666,29.870333333333367,30
23,822.2929064773333,28.80866666666669,30
12,808.37144313,24.815666666666644,30
1,753.770078985,29.227333333333295,30
2,733.5794941303226,31.081290322580674,31
7,706.42857423,22.439000000000018,30
4,664.9936439966666,25.298333333333343,30
9,643.620386595,24.322666666666645,30
11,641.1211550753334,21.96833333333328,30
5,537.1543136013333,20.47300000000003,30
10,523.4035816793333,19.93799999999998,30
6,518.1506944313334,21.796999999999965,30
8,488.05726758566664,23.37766666666668,30
