hour_utc,avg_volume,avg_range,count
16,26924.845861685997,0.24575466666666657,30
15,26904.929336434,0.29246033333333343,30
17,24211.046723265667,0.19934666666666676,30
18,21857.849719994,0.1739730000000002,30
14,18283.714433488334,0.23073566666666673,30
19,16636.031803969334,0.1541003333333333,30
21,15664.13372924,0.16210633333333344,30
0,14529.641641126665,0.17629199999999995,30
20,13622.858728476334,0.14693766666666683,30
22,13103.25805556,0.16318933333333346,30
12,12621.180307217333,0.1327599999999999,30
7,12535.308988351333,0.13659166666666658,30
2,11114.397698161936,0.15077096774193546,31
9,10850.994310593,0.15442699999999993,30
13,10697.634351086333,0.16175199999999965,30
10,9972.744469494668,0.11938166666666691,30
23,9864.110461032,0.15351966666666658,30
1,9624.796746824,0.14448866666666677,30
3,8481.120843030334,0.12480266666666656,30
11,8448.398362779666,0.12201300000000016,30
8,7854.838128332,0.13147900000000004,30
5,7535.4484198459995,0.12078233333333302,30
4,7103.111676441333,0.13020033333333317,30
6,6415.611823464,0.11096366666666668,30
