hour_utc,avg_volume,avg_range,count
17,3691.485887458,1.0893333333333346,30
15,3656.1351726326666,1.4313333333333351,30
18,3360.470503912,0.8996666666666661,30
16,3047.2299624143334,1.1656666666666666,30
6,3010.270790457667,0.6959999999999998,30
13,2761.7091405876663,0.8933333333333323,30
9,2755.7752983076666,0.7270000000000001,30
14,2570.496816012667,1.1366666666666665,30
7,2285.170846607,0.8009999999999982,30
19,2281.689872664,0.7499999999999981,30
21,2267.597415804333,0.8946666666666673,30
0,2238.247118328,0.9300000000000012,30
20,2236.547737203,0.7896666666666671,30
12,2235.659377906,0.8570000000000012,30
22,2178.5302799073334,0.8080000000000013,30
3,2093.6066225390323,0.7077419354838713,31
2,1977.2650950716668,0.7823333333333314,30
11,1965.3534056543333,0.6573333333333319,30
23,1692.0384942813332,0.8816666666666667,30
8,1555.117267777,0.6513333333333325,30
4,1512.6108395506667,0.8053333333333341,30
5,1231.3594542286667,0.6829999999999998,30
1,1176.124294413,0.8039999999999983,30
10,1006.434160003,0.6286666666666676,30
