hour_utc,avg_volume,avg_range,count
15,1630894.1070025875,0.036943000000000024,30
16,1491862.9286233315,0.0314196666666667,30
17,1251637.882504958,0.027632666666666677,30
20,1191961.1497880057,0.023542666666666705,30
14,1076935.7647270467,0.031364666666666714,30
19,1065034.8961234146,0.021638333333333322,30
18,987264.1313167748,0.02451833333333333,30
21,888532.7186687533,0.022605333333333345,30
0,888186.5558001193,0.024307666666666655,30
22,808832.9337912557,0.022125333333333323,30
13,748001.5187464143,0.02156000000000003,30
12,700486.5646764113,0.019512333333333295,30
4,620456.9074098197,0.020078000000000026,30
23,616397.4785530237,0.02074866666666666,30
2,609927.2756813009,0.022032666666666686,30
1,572286.8392253104,0.020645666666666635,30
7,530685.3188019947,0.01850133333333334,30
5,486606.814491983,0.018069333333333375,30
3,458772.2756838116,0.017095483870967727,31
6,435682.61324768333,0.017066999999999957,30
9,410083.85272208066,0.017893666666666683,30
8,382476.07528894563,0.019003333333333292,30
11,379329.45857957436,0.016679,30
10,376915.36306162964,0.01411300000000002,30
