hour_utc,avg_volume,avg_range,count
15,43917.42950631267,0.04721666666666662,30
18,35750.16053057567,0.030459999999999945,30
16,29269.907964558,0.04515666666666666,30
17,29041.993013078998,0.03403333333333335,30
7,27476.985029154668,0.02467666666666662,30
19,24720.70396697167,0.02548666666666671,30
20,23083.76770868867,0.025536666666666683,30
21,22324.20954175367,0.02701666666666661,30
0,20184.630570987334,0.02856000000000005,30
14,18625.41350322333,0.03698333333333337,30
9,18094.485877874333,0.021406666666666664,30
12,16760.548165852335,0.022636666666666652,30
10,15586.622783906332,0.016503333333333346,30
6,14834.863558178,0.018759999999999992,30
3,14080.977697388,0.019316666666666694,30
4,13946.386521334332,0.022596666666666702,30
2,12866.744234456452,0.023348387096774195,31
13,12295.321208727,0.024766666666666663,30
11,11591.502850549,0.020126666666666647,30
5,11067.309812227333,0.01930333333333336,30
22,10920.257757203,0.027346666666666675,30
1,10577.570694878332,0.022656666666666637,30
8,10435.395264013667,0.018843333333333337,30
23,10070.317931081,0.027063333333333335,30
