hour_utc,avg_volume,avg_range,count
15,280.2372627126667,7.47633333333333,30
14,264.94099235100003,8.015666666666668,30
1,253.058968772,6.286,30
16,221.41978475266666,7.916333333333333,30
17,176.39202075566666,6.5583333333333425,30
21,163.99746689699998,6.265666666666667,30
22,154.7674303483333,5.998000000000004,30
0,150.17400549666667,6.898666666666651,30
3,148.31948965967743,5.5377419354838695,31
18,146.26905343333334,5.652000000000012,30
19,138.37494133133333,5.072333333333332,30
4,122.19545162633334,6.437666666666659,30
13,122.06511858833333,5.891666666666668,30
12,104.737823368,5.488666666666655,30
9,102.628646711,5.0559999999999885,30
2,102.62861749866667,5.6136666666666635,30
6,99.18068533733334,4.362333333333337,30
5,97.67256064266667,4.780666666666671,30
11,94.38903987466666,4.84733333333333,30
23,92.281975497,6.113000000000003,30
7,88.46216659233333,5.347999999999996,30
20,82.733923537,5.012333333333333,30
10,73.96164295966668,3.994333333333344,30
8,58.69666830566667,4.65566666666666,30
