hour_utc,avg_volume,avg_range,count
15,27613.578229593335,2.90933333333333,30
17,27165.531575468667,1.9703333333333328,30
16,26268.764589950668,2.364666666666667,30
18,20163.558296810003,1.836666666666664,30
0,16651.840532101,1.5529999999999982,30
14,15646.247923486333,2.072333333333333,30
20,15614.196762581001,1.5286666666666682,30
21,15258.60819691,1.6139999999999997,30
19,14358.778712842,1.4513333333333298,30
22,13949.842396004333,1.7033333333333365,30
1,13023.449915598332,1.4433333333333322,30
5,12584.639309476,1.0776666666666657,30
7,12196.311855934668,1.2820000000000027,30
6,12144.953155599667,1.2723333333333329,30
2,12104.129715829355,1.6245161290322576,31
23,11457.931512927335,1.5426666666666649,30
13,9920.53899722,1.5273333333333299,30
9,9367.415810736002,1.3070000000000002,30
3,9232.714534427667,1.2283333333333322,30
4,8591.358873062,1.3673333333333333,30
12,8080.025632756666,1.2376666666666651,30
11,8003.758193179,1.0576666666666676,30
10,7831.150691083333,1.0053333333333323,30
8,7453.502472964334,1.2726666666666673,30
